brand,title,price,ship
MSI ,MSI Gaming Desktop Aegis RS 13NUE-450US Intel Core i7 13th Gen 13700KF (3.40GHz) 32GB DDR5 2 TB SSD NVIDIA GeForce RTX 4070 Windows 11 Home,1,999 ,Free Shipping
MSI ,MSI Pulse 15 B13VGK-287US 15.6" 165 Hz Intel Core i9 13th Gen 13900H (2.60GHz) NVIDIA GeForce RTX 4070 Laptop GPU 32GB Memory 1 TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop,1,899 ,Free Shipping
IPASON ,IPASON - Gaming desktop - AMD Ryzen 5 5600G 6 core 3.9GHz - 16GB(8*2) DDR4 3200MHz - 500GB M.2 NVMe - 500W PSU - Windows 11 home - WIFI - Gaming PC,499 ,Free Shipping
Acer America ,Acer Aspire 5 Laptop AMD Ryzen 7 5000 Series 5825U (2.00GHz) 16GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6" Windows 11 Home 64-bit A515-47-R1XS,579 ,Free Shipping
MSI ,MSI GE Series Raider GE78 HX 13VI-079US 17.0" 240 Hz IPS Intel Core i9 13th Gen 13980HX (2.20GHz) NVIDIA GeForce RTX 4090 Laptop GPU 32GB Memory 2 TB NVMe SSD Windows 11 Pro 64-bit Gaming Laptop,3,998 ,Free Shipping
HUANUO ,HUANUO Dual Monitor Stand Each Arm Holds 14.3lbs - Adjustable Gas Spring Monitor Desk Mount Bracket with C Clamp, Grommet Mounting Base for 17 to 27 Inch Computer Screens,38 ,Free Shipping
Acer America ,Acer 27” 280Hz IPS Full HD Gaming monitor 0.5ms AMD FreeSync Premium response time 1920x1080 HDR400 Nitro XV271 Z,279 ,Free Shipping
ASUS ,ASUS ZenBook Pro Duo 15.6" OLED 4K Touchscreen Intel Core i9 12th Gen 12900H (2.50GHz) 32GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Ti   Windows 11 Pro 64-bit UX582ZW-XB99T,2,799 ,Free Shipping
KOORUI ,KOORUI 24" Gaming Monitor 165Hz 1ms(MPRT),Build-in AMD FreeSync,Compatible G-sync,FHD 1920X1080 VA computer monitors with Ultra-Thin, HDMI X2 /DP, VESA Compatible, Tilt Adjustable, Eye Care 24E4,118 ,Free Shipping
Acer America ,Acer Gaming Desktop Nitro 50 N50-640-UR13 Intel Core i5 12th Gen 12400F (2.50GHz) 16GB DDR4 1TB HDD 512 GB PCIe SSD NVIDIA GeForce RTX 3050 Windows 11 Home 64-bit,789 ,Free Shipping
MSI ,MSI Optix G24C 24" (Actual size 23.6") Full HD 1920 x 1080 1ms (MPRT) 144Hz DVI HDMI DisplayPort AMD FreeSync Anti-Glare Backlit LED Curved Gaming Monitor,119 ,Free Shipping
Acer America ,Acer Gaming Desktop Predator Orion 3000 PO3-640-UA91 Intel Core i7 12th Gen 12700F (1.6 GHz) 16GB DDR4 1TB HDD 512 GB PCIe SSD NVIDIA GeForce RTX 3070 Windows 11 Home,1,311 ,Free Shipping
Velztorm ,Velztorm White Ferrux II CTO Gaming Desktop (Intel i9-11900K 8-Core, GeForce RTX 3080, 16GB DDR4, 1TB PCIe SSD, 240mm AIO, 750W PSU, WiFi 6, BT 5.1, Win 10 Home) VELZ0072,1,649 ,Free Shipping
ViewSonic ,ViewSonic ELITE XG251G 25 Inch 1080p IPS Gaming Monitor with 360Hz, 1ms, HDR 400, G-Sync, RGB Lighting, NVIDIA Reflex, and Advanced Ergonomics for Esports,399 ,$0.99 Shipping
ABS ,ABS Stratos Aqua High Performance Gaming PC - Intel i7 13700KF - GeForce RTX 4070 Ti - 16GB DDR5 5600MHz - 1TB M.2 NVMe SSD - SA137KF470TI,1,999 ,Free Shipping
Orico ,ORICO 2.5" Transparent USB 3.0 to SATA 3.0 External Hard Drive Disk Enclosure Box, USB 3.0 High-Speed Case for 2.5" HDD / SSD, Case Support UASP Protocol SATA III Tool Free [Upgrade Version],7 ,Free Shipping
Skytech ,Skytech Chronos High-Performance PC Desktop INTEL Core i5 12600K 3.7 GHz, RTX 3070, 1TB NVME SSD, 16G DDR4 3200, 650W GOLD PSU, 240mm AIO, AC Wi-Fi, Windows 10 Home 64-bit,1,399 ,Free Shipping
Skytech ,Skytech Archangel High-Performance PC Desktop  INTEL Core i5 10400F 2.9 GHz, RTX 3060, 500GB SSD, 16G DDR4 3200, 600W GOLD PSU, AC Wi-Fi, Windows 11 Home 64-bit,879 ,Free Shipping
Acer America ,Acer Aspire 5 Laptop AMD Ryzen 5 5000 Series 5625U (2.30GHz) 8GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6" Windows 11 Home 64-bit A515-47-R3Y6,449 ,Free Shipping
MSI ,MSI Creator M16 Laptop Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3050 Ti Laptop GPU 16.0" Windows 11 Pro 64-bit Creator M16 A12UD-266,1,099 ,Free Shipping
LG Electronics ,LG 32" (31.5" Viewable) 144 Hz VA UHD Gaming Monitor 1ms (GtG at Faster) FreeSync Premium (AMD Adaptive Sync) 3840 x 2160 (4K) Built-in Speakers Flat Panel UltraGear 32GQ750-B,699 ,Free Shipping
